C1;C2;Num;Libellé;Sens;Affectation;Cycle;NEF;Etat;Rubrique;Catégorie;Sous Catégorie;ETAT / LF;Code Rubrique;
1;11;119;Avoirs des actionnaires;119C;B.2.1.2.;K;CP.02;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.2. Réserves;F6002;F60020003;Réserves
1;12;120;RÉSULTAT EXERCICE (BÉNÉFICE);120D;B.2.1.4.;K;CP.04;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.4. Résultats reportés;F6002;F60020007;Résultat de l'exercice
1;12;120;RÉSULTAT EXERCICE (BÉNÉFICE);120C;B.2.1.4.;K;CP.04;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.4. Résultats reportés;F6002;F60020007;Résultat de l'exercice
1;12;121;Résultats reportés;121D;B.2.1.4.;K;CP.04;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.4. Résultats reportés;F6002;F60020005;Résultats reportés
1;12;121;Résultats reportés;121C;B.2.1.4.;K;CP.04;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.4. Résultats reportés;F6002;F60020005;Résultats reportés
1;12;128;Modifications comptables affectant les résultats reportés;128D;B.2.1.4.;K;CP.04;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.4. Résultats reportés;F6003;F60030086;Effet positif/Modif.C.affectant Réslts Reportés
1;12;128;Modifications comptables affectant les résultats reportés;128C;B.2.1.4.;K;CP.04;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.4. Résultats reportés;F6003;F60030086;Effet positif/Modif.C.affectant Réslts Reportés
1;12;129;RÉSULTAT EXERCICE (PERTE);129D;B.2.1.5.;K;CP.04;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.4. Résultats reportés;F6002;F60020007;Résultat de l'exercice
1;12;129;RÉSULTAT EXERCICE (PERTE);129C;B.2.1.5.;K;CP.04;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.4. Résultats reportés;F6002;F60020007;Résultat de l'exercice
1;13;131;Résultat bénéficiaire;131D;B.2.1.5.;K;CP.04;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.4. Résultats reportés;F6002;F60020007;Résultat de l'exercice
